一,一,yī,"det.: one yī: 
主義,主义,zhǔyì,"tenet, principle, hang, system, ticket, creed, philosophy, school of thought, evangel, ism, gospel, masonry, maxim, doctrine, -ism"
行動,行动,xíngdòng,"action, operation"
不可,不可,bùkě,"cannot, should not, must not"
只有,只有,zhǐyǒu,"can only, have no choice but, to be forced to"
校園,校园,xiàoyuán,"schoolyard, campus"
興趣,兴趣,xìngqù,"relish, appetite, zestfulness, dish, cup of tea, pastime, hobby, interest, gusto, bag, avocation, zest"
山,山,shān,"Shan, jebel, pike, mountain, whitethorn, hump, anything resembling a mountain, gable, kop, chimney, hill, Surname, mount shān: Duration: 2 seconds.0:02"
表現,表现,biǎoxiàn,"manifestation, expression"
得,得,dé,get dé: Duration: 2 seconds.0:02
回來,回来,huílái,"come back, get_back, recur, revisit, come, return, be back, come_back"
主任,主任,zhǔrèn,"head, principal, captain, chair, director, head teacher, chief, chairman, school principal"
裡面,里面,lǐmiàn,"inside, interior"
經常,经常,jīngcháng,"everyday, daily, alway, often, a great deal, frequently, sempre, much, regularly, constantly, evermore, day-to-day"
不再,不再,búzài,no more/longer
電子,电子,diànzǐ,electron
受,受,shòu,"receive, accept, endure, suffer, be subjected to shòu: Duration: 1 second.0:01"
思想,思想,sīxiǎng,"cogitation, mentation, imagery, imaging, lunatic_fringe, mental imagery, idea, thinking, imagination, ideology, thought, pensee, ideological"
頭,头,tóu,"head, hair (style), top/end of sth., chief tóu: Duration: 1 second.0:01"
終於,终于,zhōngyū,"in the last analysis, at long last, at last, lastly, ultimately, all things considered, out, on the whole, at_last, eventually, in the final analysis, finally"
謝謝,谢谢,xièxiè,thank
協助,协助,xiézhù,"assist, help"
除,除,chú,except
當地,当地,dāngdì,"locality, the place (named/mentioned/etc.)"
正式,正式,zhèngshì,formal (of actions/speeches/etc.)
真正,真正,zhēnzhèng,"true, indeed, certainty"
低,低,dī,"let droop, hang down, lower dī: Duration: 2 seconds.0:02"
性,性,xìng,"nature, character, sex, gender xìng: Duration: 1 second.0:01"
份,份,fèn,m.[general] fèn: Duration: 1 second.0:01
因素,因素,yīnsù,"consideration, ingredient, constituent, factor, strand, component, element"
推出,推出,tuīchū,present to public
上,上,shàng,"go up, mount, board, get on, go to, go to, leave for, present, forge/go ahead, enter, place sth. in position shàng: Duration: 1 second.0:01"
價格,价格,jiàgé,price
去,去,qù,particle: used to denote an action away from the speaker or to denote the direction of the action qù: Duration: 1 second.0:01
認識,认识,rènshì,"know, recognize"
方向,方向,fāngxiàng,"path, set, directional, aspect, tenor, course, lay, exposure, way, range, aim, trend, direction, bearing, orientation, hand, tack, way of life, quarter, channel, line, heading"
責任,责任,zérèn,"need, care, encumbrance, buck, accountability, blame, obligation, turn, load, responsibleness, incumbrance, responsibility, onus, commission, burden, commitment, loading, trust, pigeon, charge, business, fault, place, liability, duty, guardianship"
說明,说明,shuōmíng,"explain, illustrate, show"
工業,工业,gōngyè,"industrial, industry"
大量,大量,dàliàng,"det.: any numer of, a great many"
做,做,zuò,"be, become, be used as zuò: Duration: 1 second.0:01"
逐漸,逐渐,zhújiàn,"step_by_step, by degrees, gradually"
心理,心理,xīnlǐ,"mental_state, psychology, mentality"
一點,一点,yīdiǎn,det.: a little bit
供,供,gōng,"supply, feed, be for (the use/convenience of)"
須,须,xū,"must, have to"
簡單,简单,jiǎndān,"terse, casual, commonplace, simple, oversimplified, ordinary, uncomplicated"
運用,运用,yùnyòng,"utilize, wield, apply"
觀察,观察,guānchá,"observe, survey, inspect"
往往,往往,wǎngwǎng,"oftentimes, ofttimes, always, more often than not, frequently, oft, often"
規劃,规划,guīhuà,"plan, program"
減少,减少,jiǎnshǎo,"reduce, decrease"
重新,重新,chóngxīn,"over_again, newly, afresh, anew, again"
業務,业务,yèwù,"service, practice, vocational work, line of work, affair, line, occupation, professional work, business, transaction"
報導,报导,bàodǎo,"report,"
仍然,仍然,réngrán,"still, yet"
感到,感到,gǎndào,"feel, sense"
開放,开放,kāifàng,"open to the world, open to traffic or public use"
領域,领域,lǐngyū,"demesne, line of business, field of operation, country, background, terrain, realm, part, arena, sphere of influence, setting, territory, precinct, radius, scope, domain, sphere, frontier, orbit, preserve, area, world, kingdom, ambit, signory, province, region, field, universe, hemisphere"
有效,有效,yǒuxiào,"run, stand, valid, effective, efficacious, avail, make, hold"
女,女,nǔ,"girl, female, woman, neodymium, hen, daughter, beaver, creature"
要,要,yào,"want/wish (to), ask (for) yào: Duration: 1 second.0:01"
從事,从事,cóngshì,"engross, have, join, treat, plow, handle, follow, embark, undertake, attend_to, attack, occupy, absorb, go_into, work, engage, prosecute, go_about, go in for, pursue, be, meddle, embark_on, perform, enter, cover, deal, address, be engaged in, deal with, place, wage"
發揮,发挥,fāhuī,"bring into play, give free rein to, develop (idea/etc.), elaborate"
人才,人才,réncái,"talent, capable person, a talented person, qualified personnel, a person of ability"
反而,反而,fǎnér,"conj.: on the contrary, instead"
行政,行政,xíngzhèng,administration
銀行,银行,yínháng,"jug, depository financial institution, bank building, banking company, banking concern, bank"
公共,公共,gōnggòng,"common, commonly, publicly, public, communal"
媒體,媒体,méitǐ,"mass media, media, medium"
提高,提高,tígāo,"raise, heighten, enhance, increase, improve"
代,代,dài,"period, generation dài: Duration: 1 second.0:01"
自然,自然,zìrán,"naturally, of course, in ordinary course of events"
社區,社区,shèqū,community
力量,力量,lìliàng,"fibre, strength, potency, ability, guts, kick, cogency, point, dint, energy, mightiness, physical strength, demon, force, punch, whiz, tooth, might, forcefulness, exercise, fiber, powerfulness, lift, pith, leverage, agency, push, muscle, power"
啊,啊,ā,"indicating elation, indicating doubt or questioning, indicating puzzled surprise, indicating agreement/approval ā: Duration: 1 second.0:01"
教育部,教育部,jiàoyūbù,"Education, Ministry of Education, Department of Education, Education Department"
愈,愈,yū,the more...
超過,超过,chāoguò,"overpass, overreach, outwalk, outstrip, overstep, outmarch, distance, pass, overstride, outpace, overtop, surpass, crown, exceed, overtake, preponderate, overrun, top, outrun, go_over, transcend, outrange, transgress, go past, break, excess, overhaul, overshine"
維持,维持,wéichí,"keep, preserve"
家長,家长,jiāzhǎng,"masterman, housemaster, graybeard, patriarch, parent of schoolchildren, patriarchal, goodman, patriarchate, paterfamilias, the head of a family, genearch, patriarchy, householder, head of household, the parent or guadian of a child"
結合,结合,jiéhé,"combine, unite, integrate, link, be joined in wedlock"
校長,校长,xiàozhǎng,"prexy, head, principal, headteacher, schoolmaster, master, warden, president, beak, rector, superintendent, director, head teacher, preceptor, headmaster, chancellor, school principal"
通常,通常,tōngcháng,"normal, commonly, customarily, more often than not, general, usual, on average, as a rule, ordinarily, mostly, as usual, typically, generally, normally, by and large, unremarkably, on the average, usually"
缺乏,缺乏,quēfá,"be short of, lack"
委員,委员,wěiyuán,"commissar, committee man, committee, committee member, commissioner, committeeman, delegate, board member, commissary"
特色,特色,tèsè,"motif, a character, a characteristic, manner, trait, differentiation, flavor, colour, singularity, distinction, characteristic, hue, stripe, physiognomy, a distinguishing feature, idiom, specialty, character, difference, particular, distinguishing feature, distinguishing feature/quality, salience, coloration, distinguishing quality, specific, feature, peculiarity, artistic st"
結果,结果,jiéguǒ,finally
有時,有时,yǒushí,"now and then, at times, betweentimes, from time to time, sometimes"
教師,教师,jiàoshī,"beak, don, school teacher, schoolman, teacher, schoolmaster, preceptor, professor, pedagogue, schoolteacher, coach, master, instructor, educator, preceptorship"
之前,之前,zhīqián,"before, prior to, ago"
遠,远,yuǎn,"far, distant (lit./fig.) yuǎn: Duration: 2 seconds.0:02"
控制,控制,kòngzhì,"control, dominate, command"
本,本,běn,m.[general] běn: Duration: 1 second.0:01
否則,否则,fǒuzé,"conj.: otherwise, if not, or else"
法,法,fǎ,"law, method, way, mode, standard, model, legalists, Legalist School, Buddhist doctrine, dharma, magic arts"
少,少,shǎo,"lack, be deficient, lose, be missing shǎo: Duration: 2 seconds.0:02"
原則,原则,yuánzé,"god, rule, formula, regulation, principle, fundamental, axiom, basis, linguistic rule, faith, principium"
要,要,yào,"demand, request yào: Duration: 1 second.0:01"
臉,脸,liǎn,"map, mug, kisser, puss, visage, snoot, frontispiece, pan, smiler, mazzard, mush, facial, countenance, phiz, figurehead, face, physiognomy, front, human face liǎn: Duration: 2 seconds.0:02"
通過,通过,tōngguò,"adopt, pass, carry (motion/legislation)"
建議,建议,jiànyì,"propose, suggest, recommend"
工具,工具,gōngjù,"stock-in-trade, instrumentality, instrument, ministry, hand_tool, escalator, creature, utensil, material, gear, pawn, lobster-joint, cat's-paw, kit, apparatus, tool, appurtenances, paraphernalia, means, wood, tackle, implement, medium, lever, outfit"
作業,作业,zuòyè,"school assignment, work, task, operation, production"
達,达,dá,"lead, attain, extend, amount to, ryke, express, attainment, inform, reach"
節目,节目,jiémù,"item, item (on program), programme, act, telecast, number, program"
智慧,智慧,zhìhuì,"lore, sapiency, sconce, wit, intelligence, gumption, savvy, wiseness, soundness, wisdom, grey_matter, sapience"
來自,来自,láizì,"come from, originate from, come, stem/originate from, attach_to, stem, come/stem/originate from, hail"
而,而,ér,conj.: and ér: Duration: 1 second.0:01
變化,变化,biànhuà,"change, transformation"
同樣,同样,tóngyàng,"same, equal, similar"
形式,形式,xíngshì,"circumstance, form, kind, modality, reading, interpretation, variety, shape, embodiment, species, mode, version, sort"
站,站,zhàn,to stand zhàn: Duration: 1 second.0:01
以為,以为,yǐwéi,"imagine, think/believe/consider erroneously, treat, deem, believe, suspect, suppose, consider erroneously, repute, animadvert, esteem, trow, speak up, feel, count, believe/consider erroneously, calculate, view as, guess, ween, look, expect, think erroneously, think, hold, opine, interpret, sound off, take_for, consider, take for"
健康,健康,jiànkāng,"healthy, sound"
擔任,担任,dānrèn,"hold the post of, take charge of, assume, take_charge, fill, shoulder, adopt, skipper, assume the office of, assume office of, act_as, take, act as, play, undertake, take over, take on"
人口,人口,rénkǒu,population
規劃,规划,guīhuà,"program, plan"
剛,刚,gāng,"exactly, only a short while ago, just now, barely, only just, just gāng: Duration: 1 second.0:01"
特殊,特殊,tèshū,"exceptional, special, particular; peculiar, distinctive"
原來,原来,yuánlái,"originally, formerly"
道,道,dào,"say, speak, talk, think, suppose dào: Duration: 1 second.0:01"
分,分,fēn,"separate, distinguish, differentiate, discriminate fēn: Duration: 1 second.0:01"
傳統,传统,chuántǒng,"rule, patrimony, legacy, custom, heritage, convention, conventionality, routine, normal practice, common practice, tradition"
總是,总是,zǒngshì,always
前往,前往,qiánwǎng,"depart, cruise, go_to, go, leave, go to, proceed to, pay, seek, leave for"
投資,投资,tóuzī,investment
加強,加强,jiāqiáng,"strengthen, augment, reinforce"
不斷,不断,búduàn,"unceasingly, continuously"
對象,对象,duìxiàng,"boy/girl friend, mate, fair game, boy friend, prey, boy, object, quarry, target, girl friend, catch, match"
追求,追求,zhuīqiú,"seek, pursue, woo, court"
加上,加上,jiāshàng,conj.: in addition (to)
比,比,bǐ,"compare, contrast, emulate, draw analogy bǐ: Duration: 2 seconds.0:02"
思考,思考,sīkǎo,"ponder over, reflect on"
製作,制作,zhìzuò,"make, manufacture"
台北市,台北市,táiběishì,capital of Republic of China on Taiwan
取得,取得,qǔdé,"gain, acquire, obtain"
出來,出来,chūlái,"come forward, issue, come up, step up, step to the fore, out (toward one), come_out, pop out, come out, rise, come to the fore, step forward, emergence, come forth, emerge"
加入,加入,jiārù,"join, accede to"
台,台,tái,short for Taiwan tái: Duration: 1 second.0:01
安排,安排,ānpái,"arrange, plan, fix up, provide (meals/etc.)"
兒童,儿童,értóng,"kid, nipper, enfant, tyke, youngster, small fry, minor, shaver, nestling, tike, child, chit, fry, children, infant, tiddler, small-fry"
國中,国中,guózhōng,"middle school, junior high school"
範圍,范围,fànwéi,"demesne, latitude, shot, compass, extensity, panorama, parameter, boundary, arena, stretch, territory, radius, spectrum, scope, extension, sphere, orbit, circumscription, limits, purview, grasp, extent, region, space, limit, hemisphere, horizon, envelope, bounds, realm, terrain, tether, sphere of influence, range, circuit, domain, precinct, reach, area, length, spread, bailiwick, ambit, con"
老人,老人,lǎorén,"oldster, ancient, old woman, crock, one's aged parents or grandparents, old man/woman, one's aged parents/grandparents, Sir, old person, gaffer, pop, one's aged parents, the aged/old, old_man, senior_citizen, oldie, greybeard, old man, graybeard, old, grandparents, the old, the aged, senior citizen, old_boy, old boy, woman, old-timer, old man or woman, one's aged grandparents"
雙方,双方,shuāngfāng,"both, the two parties, two parties, both sides"
牠,牠,tā,it (animal) tā: Duration: 1 second.0:01
北京,北京,běijīng,"capital of Red China, Beijing, Peking, Beijing (Peking), Peiping"
年輕,年轻,niánqīng,"junior, young"
結束,结束,jiéshù,"end, close, conclude"
教,教,jiāo,teach jiāo: Duration: 1 second.0:01
程式,程式,chéngshì,"formula, instruction, computer programme, pattern, form, modality, subprogram, routine, programme, course, function, subroutine, procedure, mode, order, sequence, computer program, program"
婦女,妇女,fùnǔ,"feme, womankind, female, femininity, cummer, woman, femme, quean, bevy, matron, toots, womanhood, feminine, womenfolk, women"
找到,找到,zhǎodào,"light upon, find, discover, run_down, founded, regain, strike, come upon, come across, run down, trace, turn_up, happen upon, get, chance on, chance upon"
彼此,彼此,bǐcǐ,"each other, one another, I/me too"
全球,全球,quánqiú,"global, whole world"
成本,成本,chéngběn,cost
回到,回到,huídào,"remount, retour, recur, turn back, regress, regain, revert, go_back, return to, return, go back to"
部,部,bù,m.[general] bù: Duration: 1 second.0:01
而已,而已,éryǐ,particle: imparting finality (that's all)
之下,之下,zhīxià,"under the condition of, under, beneath, below"
等,等,děng,wait děng: Duration: 2 seconds.0:02
變,变,biàn,"change, transform"
期間,期间,qíjiān,"length, period, time period, amount of time, duration, course, interim, period of time, time, standing, chapter, tract, space, term, streak, efflux"
非,非,fēi,not fēi: Duration: 1 second.0:01
小姐,小姐,xiǎojiě,"Signorina, Senorita, senorita, signorina, young_lady, damosel, Dona, mum, young lady, damoiselle, missy, tootsy, demoiselle, damsel, Miss, Fraulein, miss, sheila, sister, toots, senhorita, damozel, Ladyship, ladyship, Mademoiselle, mademoiselle"
整體,整体,zhěngtǐ,"integrity, allness, entirety, integer, integral, monolith, entireness, ensemble, wholeness, entire, tout ensemble, whole, totality, unity"
採用,采用,cǎiyòng,"invoke, admit, assume, adoptive, use, adopt, select for use, embrace, accept, employment, take, introduce, take up, take_on, take over, take on, borrow, employ, adoption"
根本,根本,gēnběn,"at all, utterly"
叫,叫,jiào,to be called jiào: Duration: 2 seconds.0:02
歐洲,欧洲,ōuzhōu,Europe
正在,正在,zhèngzài,"course of, be, be in process"
加以,加以,jiāyǐ,handle; treat (used before polysyllabic verbs or verbal nouns)
充滿,充满,chōngmǎn,"swarm, be brimming, inhabit, be brimming with, teem, crawl, fill, lard, pullulate with, brim, be permeated with, bathe, be filled with, permeated with, abound in, implement, exuberate, fill up, flow, abound, burst, perfuse, foam, bristle, crackle, inform, pervade, be imbued with, simmer, glut, teem in, permeate, congest, be full of, reek, charge, suffuse, pullulate, overfill, swell"
系列,系列,xìliè,"succession, set, spectrum, course, train, series"
隨著,随着,suízhe,"along with, in the wake of, in pace with"
早,早,zǎo,"early, long ago, in advance, beforehand, prematurely zǎo: Duration: 2 seconds.0:02"
等等,等等,děngděng,"conj.: and so on, etc"
頗,颇,pǒ,"pretty, quite an, very, quite, jolly, fearfully, quite a, molto, middling, considerably, greatly"
不足,不足,bùzú,"not be enough, not be worth (doing sth.), cannot, should not"
總,总,zǒng,"always, invariably, anyway, after all, inevitably, sooner or later zǒng: Duration: 1 second.0:01"
分析,分析,fēnxī,analyze
深,深,shēn,"deepen, penetrating, profound, deep, dark shēn: Duration: 2 seconds.0:02"
報告,报告,bàogào,"report, speech, (student) term paper"
不錯,不错,búcuò,"not bad, pretty good;correct, right"
在於,在于,zàiyū,"be at, on, lie, in, depend on, lie_in, rest with, lie in, be determined by, consist_in, consist in"
旁,旁,páng,"side, by the side of, other páng: Duration: 2 seconds.0:02"
笑,笑,xiào,"smile, laugh xiào: Duration: 1 second.0:01"
故,故,gù,"conj.: hence, so, therefore, as a result"
消費者,消费者,xiāofèizhě,"customer, buyer, consumer"
意識,意识,yìshì,"consciousness, witting, sensibility, conscious, conscience, ideology, awareness, subconscious, mentality"
公尺,公尺,gōngchǐ,m.[standard]
民族,民族,mínzú,"tribe, citizenry, ethnos, ethnic minority/group, race, nationality, group, Volk, nation, folk, people, ethnic group, ethnographer, family, ethnic minority"
為主,为主,wéizhǔ,give first place to
大眾,大众,dàzhòng,"the broad masses, roughscuff, the public, herd, concourse, commonality, riffraff, masses, commonness, the masses, throng, multitude, commonage, commonalty, plebeian, plebs, horde, the people/masses, community, the people, million, mass, public"
到底,到底,dàodǐ,"to the end, at last, after all"
願,愿,yuàn,"will, wish, may, desire"
度,度,dù,m.[activity]
大概,大概,dàgài,"chiefly, if not, perchance, approximately, believably, maybe, presumably, plausibly, almost, conceivably, most likely, assumedly, ablings, likely, perhaps, probably, supposedly, ablins, credibly, assumably, belike"
對方,对方,duìfāng,"other party, the other party, fellow, party, other side, adversary, other side/party"
官員,官员,guānyuán,"beg, official, mandarinate, administrative official, office-bearer, officer, bureaucrat, placeman, federal agent, government officials, agent, officialism, functionary, director, officeholder, officialdom, myrmidon"
發表,发表,fābiǎo,"voice, enounce, enunciate, publish, free, sound, announce, pronounce, deliver, circulation, put_out, release, issue, vend, circularize, give, give_out, denote, present, circulate, publicize, blazon, promulgate, mouth"
進一步,进一步,jìnyībù,go step further
自由,自由,zìyóu,"free, unrestrained"
正確,正确,zhèngquè,"correct, true, exact, proper, right"
豐富,丰富,fēngfù,"rich, abundant, plentiful"
國民黨,国民党,guómíndǎng,"Kuomintang, Nationalist Party, Kuomintang (KMT)"
戰爭,战争,zhànzhēng,"war, warfare"
怎麼樣,怎么样,zěnmeyàng,How are things?
只好,只好,zhǐhǎo,"can only, have no choice but, have to, be forced to"
明顯,明显,míngxiǎn,"clear, obvious"
改革,改革,gǎigé,reform
表達,表达,biǎodá,"express, convey, voice"
肯定,肯定,kěndìng,"affirm, approve, regard as positive"
強,强,qiáng,"strong, powerful, vigorous, better, slightly more than, plus qiáng: Duration: 2 seconds.0:02"
高興,高兴,gāoxìng,"glad, happy, cheerful, merry, pleased"
哪,哪,nǎ,det.: which nǎ: Duration: 2 seconds.0:02
樹,树,shù,"wood, Ruptiliocarpon caracolito, tree, arbor, Surname, caracolito shù: Duration: 1 second.0:01"
適合,适合,shìhé,"qualify, conform, fit, go, befit, quadrate, will, accord, tailor, beseem, serve, comport, gee, answer, become, fit_in, service, pertain, like, accommodate, agree, belong, characterize, make, suit, match"
茶,茶,chá,tea chá: Duration: 1 second.0:01
別,别,bié,don't bié: Duration: 1 second.0:01
國外,国外,guówài,overseas
關心,关心,guānxīn,be concerned about
蘇聯,苏联,sūlián,"Russia, Soviet, USSR, Soviet Union"
成績,成绩,chéngjī,"execution, carrying into action, achievement, result, showing, carrying out, performance, grade, success, doing, batting average"
人物,人物,rénwù,"character, persona, original, spirit, figure painting, character in literature, figure, person in literature, person, fish, personage, personality"
聽到,听到,tīngdào,hear
創造,创造,chuàngzào,"create, produce, bring about"
不必,不必,búbì,"need not, not have to"
不論,不论,búlùn,conj.: no matter how/who/what/etc.
尚,尚,shàng,"still, yet, fairly, rather shàng: Duration: 1 second.0:01"
居民,居民,jūmín,"municipality, population, citizen, denizen, townie, people, dweller, populace, residenter, resident, towny, inhabitant, habitant, liver"
不管,不管,bùguǎn,"conj.: no matter, regardless of"
美麗,美丽,měilì,beautiful
伊拉克,伊拉克,yīlākè,"Al-Iraq, Iraq, Irak"
帶來,带来,dàilái,"bring, redound, impart, bring_on, bring on, express, fetch, lend, convey, contribute, bring about, bestow, carry, bring oneself, add, usher, incur, land"
有,有,yǒu,there is/are
般,般,bān,"way, kind, variety, sort"
永遠,永远,yǒngyuǎn,"e'er, always, for_good, evermore, ever, forever"
感情,感情,gǎnqíng,"warmheartedness, reticence, sensation, affection, susceptibility, feeling, feelings, heart, affective, withers, expression, tenderness, emotion, sentiment, fondness, soul, affectionateness, soulfulness, passion"
兒子,儿子,érzi,"son, male offspring, boy"
這樣子,这样子,zhèyàngzi,"so, such, like this, this way"
起,起,qǐ,[aspect] qǐ: Duration: 2 seconds.0:02
全部,全部,quánbù,"lot, aggregate, all, gross, entirety, allness, shebang, caboodle, complete, bunch, sum, total, gamut, entire, det.: all, totality, whole, everything"
